This file was generated on with the EC moored buoy status bulletin available from 1997-06-23 to 2014-11-27 with some interruptions. For the latest bulletin status reports please visit http://www.meds-sdmm.dfo-mpo.gc.ca/isdm-gdsi/waves-vagues/buoy-stat/index-eng.asp.
Ce fichier a �t� compil� � partir des informations disponibles dans les bulletins se la situation des bou�es ancr�es d'EC du 1997-06-23 au 2014-11-27 avec quelques interruptions. Pour les tout derniers rapports de situation de bou�es veuillez consulter http://www.meds-sdmm.dfo-mpo.gc.ca/isdm-gdsi/waves-vagues/buoy-stat/index-fra.asp.
Date - Start,Date - End,Sensor - Wind 1,Sensor - Wind 2,Sensor - Pressure 1,Sensor - Pressure 2,Sensor - Air Temperature,Sensor - Water Temperature,Sensor - Significant Wave Height,Argos #,Channel,Depth,Date established / Type,GOES #,Hex #,Hull #,Latitude,Longitude,Remark - External,Remark - Internal 1,Remark - Internal 2,Service - Last,Service - Next,Service - Refit,Station Name,Transmission,Zeno #
Date - d�but,Date - fin,Capteur - Vent 1,Capteur - Vent 2,Capteur - Pression 1,Capteur - Pression 2,Capteur - Temp�rature de l'air,Capteur - Temp�rature de l'eau,Capteur - Hauteur siginificative des vagues,No. Argos,Canal,Profondeur,Date d�but / Type,No. GOES,Code hex,No. coque,Latitude,Longitude,Remarque - Externe,Remarque - Interne 1,Remarque - Interne 2,Service - dernier,Service - prochain,Service - radoub,Nom de la station,Transmission,No. Zeno
19970623,19970625,1,0,1,0,1,1,1,4484,16W,18 m,Oct/92 3D,46C067FA,46127,3D21,49 54.4 N,124 59.1 W,.....,Watchman payload,High modulation index,Jun/97,Sum/98,Sum/97,Sentry Shoal,Hour+27,ZE976
19970627,19980310,1,0,1,0,1,1,1,N/A,16W,18 m,Oct/92 3D,46C067FA,N/A,3D27,49 54.4 N,124 59.1 W,.....,Next Generationbuoy @Watchmanpayload,High modulationindex,Jun/97,Sum/98,Sum/01,Sentry Shoal,Hour+27,WM017
19980312,19980522,1,0,1,0,1,1,1,N/A,16W,18 m,Oct/92 3D,46C067FA,N/A,3D27,49 54.4 N,124 59.1 W,,NextGenerationbuoy @Watchmanpayload,Highmodulationindex,Jun/97,Jun/97,Jun/97,Sentry Shoal,Hour+27,WM017
19980526,19980528,1,0,1,0,1,1,1,N/A,16W,18 m,Oct/92 3D,46C067FA,N/A,3D27,49 54.4 N,124 59.1 W,,NextGenerationbuoy@Watchmanpayload,,May/98,May/98,May/98,Sentry Shoal,Hour+27,WM017
19980530,19980604,1,0,1,0,1,1,1,N/A,16W,18 m,Oct/92 3D,46C067FA,N/A,3D13,49 54.4 N,124 59.1 W,,,NextGenerationbuoy@Watchmanpayload,May/98,May/98,May/98,Sentry Shoal,Hour+27,WM035
19980606,19980606,*,*,*,*,*,*,*,N/A,16W,m,Oct/92 3D,,N/A,3D13,N,W,,,NextGenerationbuoy@Watchmanpayload,May/98,May/98,May/98,,Hour+27,WM035
19980608,19980608,1,0,1,0,1,1,1,N/A,16W,18 m,Oct/92 3D,46C067FA,N/A,3D27,49 54.4 N,124 59.1 W,,,NextGenerationbuoy@Watchmanpayload.,May/98,May/98,May/98,Sentry Shoal,Hour+27,WM017
19980610,19980614,1,0,1,0,1,1,1,N/A,16W,18 m,Oct/92 3D,46C067FA,N/A,3D13,49 54.4 N,124 59.1 W,,,NextGenerationbuoy@Watchmanpayload,May/98,May/98,May/98,Sentry Shoal,Hour+27,WM035
19980616,19980630,1,0,1,0,1,1,1,N/A,16W,18 m,Oct/92 3D,46C067FA,N/A,3D27,49 54.4 N,124 59.1 W,,,NextGenerationbuoy@Watchmanpayload.,May/98,May/98,May/98,Sentry Shoal,Hour+27,WM017
19980702,19980702,1,0,1,0,1,1,1,N/A,16W,18 m,Oct/92 3D,46C067FA,N/A,3D13,49 54.4 N,124 59.1 W,,,NextGenerationbuoy@Watchmanpayload,May/98,May/98,May/98,Sentry Shoal,Hour+27,WM035
19980704,19980720,1,0,1,0,1,1,1,N/A,16W,18 m,Oct/92 3D,46C067FA,N/A,3D27,49 54.4 N,124 59.1 W,,,NextGenerationbuoy@Watchmanpayload.,May/98,May/98,May/98,Sentry Shoal,Hour+27,WM017
19980722,19980901,1,0,1,0,1,1,1,N/A,16W,18 m,Oct/92 3D,46C067FA,N/A,3D13,49 54.4 N,124 59.1 W,,,NextGenerationbuoy@Watchmanpayload.,May/98,May/98,May/98,Sentry Shoal,Hour+27,WM035
19980903,19980903,1,0,1,0,1,1,1,N/A,16W,18 m,Oct/92 3D,46C067FA,N/A,3D13,49 54.4 N,124 59.1 W,,,NextGenerationbuoy@Watchmanpayload,May/98,May/98,May/98,Sentry Shoal,Hour+27,WM035
19980905,19990105,1,0,1,0,1,1,1,N/A,16W,18 m,Oct/92 3D,46C067FA,N/A,3D13,49 54.4 N,124 59.1 W,,,NextGenerationbuoy@Watchmanpayload.,May/98,May/98,May/98,Sentry Shoal,Hour+27,WM035
19990107,19990615,1,0,1,0,1,1,1,N/A,16W,18 m,Oct/92 3D,46C067FA,N/A,3D13,49 54.4 N,124 59.1 W,,,NextGenerationbuoy@Watchmanpayload.,May/98,Sum/99,Sum/02,Sentry Shoal,Hour+27,WM035
19990617,19990831,1,0,1,0,1,1,1,N/A,16W,18 m,Oct/92 3D,46C067FA,N/A,3D13,49 54.3 N,124 59.1 W,,,NextGenerationbuoy@Watchmanpayload.,May/98,Sum/99,Sum/02,Sentry Shoal,Hour+27,WM035
19990902,19990916,1,0,1,0,1,1,1,N/A,16W,18 m,Oct/92 3D,46C067FA,N/A,3D11,49 54.3 N,124 59.1 W,,Serviced August 26/99.,Not connectorized.,Aug/99,Sum/00,Sum/01,Sentry Shoal,Hour+27,WM016
19990918,20000404,1,0,1,0,1,1,1,N/A,16W,14 m,Oct/92 3D,46C067FA,N/A,3D11,49 54.3 N,124 59.1 W,,Serviced August 26/99.,Not connectorized.,Aug/99,Sum/00,Sum/01,Sentry Shoal,Hour+27,WM016
20000406,20010131,1,0,1,0,1,1,1,N/A,16W,14 m,Oct/92 3D,46C067FA,N/A,3D11,49 54.4 N,124 59.1 W,,Serviced August 26/99.,Not connectorized.,Aug/99,Sum/00,Sum/01,Sentry Shoal,Hour+27,WM016
20010201,20010226,1,0,1,0,1,1,1,N/A,16W,14 m,Oct/92,46C067FA,N/A,3D11,49 54.4 N,124 59.1 N,,Serviced August 26/99.,Not connectorized. LowbatteryVoltage.,Aug/99,Sum/00,,Sentry Shoal,Hour+27,WM016
20010227,20010328,1,0,1,0,1,1,1,N/A,16W,14 m,Oct/92,46C067FA,N/A,3D11,49 54.4 N,124 59.1 N,,NewPDB Feb/01.,Notconnectorized.WatchbatteryVoltage.,Feb/01,Sum/02,,Sentry Shoal,Hour+27,WM016
20010330,20010525,1,0,1,0,1,1,1,N/A,16W,14 m,Oct/92 3D,46C067FA,N/A,3D11,49 54.4 N,124 59.1 W,,Serviced August 26/99.,Not connectorized.,Aug/99,Sum/00,Sum/01,Sentry Shoal,Hour+27,WM016
20010526,20010527,1,0,1,0,1,1,1,N/A,16W,14 m,Oct/92 3D,46C067FA,N/A,3D11,49 54.4 N,124 59.1 N,,NewPDB Feb/01.,Notconnectorized.WatchbatteryVoltage.,Feb/01,Sum/02,Sum/02,Sentry Shoal,Hour+27,WM016
20010529,20010610,1,0,1,0,1,1,1,N/A,16W,14 m,Oct/92 3D,46C067FA,N/A,3D11,49 54.4 N,124 59.1 W,,Serviced August 26/99.,Not connectorized.,Aug/99,Sum/00,Sum/01,Sentry Shoal,Hour+27,WM016
